year_month,total_kwh,readings
2019-03,56585.545,31
2019-04,44446.996,30
2019-05,54040.135,31
2019-06,49543.616,30
2019-07,32112.938000000002,31
2019-08,54046.643,31
2019-09,48364.32,30
2019-10,58988.177,744
2019-11,55830.267,720
2019-12,41122.376,744
2020-01,51999.798,744
2020-02,56337.447,696
2020-03,58066.582,744
2020-04,46511.823,720
2020-05,54289.567,744
2020-06,54035.225,720
2020-07,29502.631,744
2020-08,50306.605,744
2020-09,206010.219,720
2020-10,239593.532,744
2020-11,257174.433,720
2020-12,227541.815,744
2021-01,254482.753,744
2021-02,256042.508,672
2021-03,277010.942,744
2021-04,239299.265,720
2021-05,187464.814,744
2021-06,237442.106,720
2021-07,213372.392,744
2021-08,223667.748,744
2021-09,211510.89,720
2021-10,222753.295,744
2021-11,245258.911,720
2021-12,216054.631,744
2022-01,252026.938,744
2022-02,232288.018,672
2022-03,141969.456,385
