F_BUS;T_BUS;BR_R;BR_X;BR_B;RATE_A;RATE_B;RATE_C;TAP;SHIFT;BR_STATUS;ANGMIN;ANGMAX;PF;QF;PT;QT;MU_SF;MU_ST;MU_ANGMIN;MU_ANGMAX
R1S47.0T1;R1S11.0T1;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T1;R1S11.0T3;1.09E-05;9.09E-06;0;7.621023553;7.621023553;7.621023553;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T3;R1S11.0T4;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T4;R1S0.415T2;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
R1S0.415T2;R1S0.23T2;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T3;R1S11.0T2;2.91E-05;1.09E-05;0;4.572614132;4.572614132;4.572614132;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T2;R1S0.415T1;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T3;R1S11.0T5;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T5;R1S0.415T3;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
R1S0.415T3;R1S0.23T3;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S0.415T3;R1S0.415T7;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T3;R1S11.0T6;1.09E-05;9.09E-06;0;7.621023553;7.621023553;7.621023553;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T6;R1S0.415T4;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
R1S0.415T4;R1S0.415T8;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
R1S11.0T6;R1S0.23T1;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
